script,function,artifact_type,path_pattern,root_constant,notes
scripts/audit_outputs.py,main,other,<DIRECTORY>,,variable placeholder; directory creation
scripts/audit_outputs.py,write_json,other,<HANDLE>,,variable placeholder
scripts/audit_outputs.py,write_docs,other,- Figures should be written to `fig/` or `figures/` folders with informative names.,,heuristic string match
scripts/audit_outputs.py,write_docs,other,- Prefer storing tabular data in `tables/` with descriptive filenames.,,heuristic string match
scripts/audit_outputs.py,write_docs,other,- Use `output/` for derived datasets and diagnostics.,,heuristic string match
scripts/audit_outputs.py,write_docs,log,- Write execution logs to `logs/` with timestamps or identifiers.,,heuristic string match
scripts/audit_outputs.py,<module>,other,output/,,heuristic string match
scripts/augment_modis_optics.py,<module>,other,<HERE_PARENT>,ROOT,constant definition; attribute placeholder
scripts/augment_modis_optics.py,main,table,<OUT>,,variable placeholder
scripts/dLCF_dTs_A_direct.py,<module>,other,<HERE_PARENT>,ROOT,constant definition; attribute placeholder
scripts/dLCF_dTs_A_direct.py,main,table,<OUT_CSV>,,variable placeholder
scripts/dLCF_dTs_A_direct.py,main,table,<OUT_HARM>,,variable placeholder
scripts/dLCF_dTs_A_direct.py,main,table,<TABLE4_PATH>,,variable placeholder
scripts/dLCF_dTs_A_direct.py,main,table,<TABLE4_PATH>,,variable placeholder
scripts/dLCF_dTs_A_direct.py,<module>,log,"
A-line (direct) estimate of dLCF/dTs with meteorology controlled.

Model (per calendar month m):
    LCF'_m = theta_T^(m) * Ts'_m + sum_j theta_j^(m) * CCF'_{j,m} + eps_m

Inputs (per region):
  - output/regional_monthly/MODIS_<REGION>_monthly.csv   (need column MODIS_LCF; fallback to cllmodis_region_mean_*.csv)
  - output/regional_monthly/ERA5_<REGION>_monthly.csv    (ERA5_TS / ERA5_SST / ERA5_EIS / ERA5_W500 / ...)

Arguments:
  --region NEP --ccf EIS,W500,SST,U10,Q --lags 1

Outputs:
  - output/dLCF_dTs/ALINE_<REGION>.csv        (month, dLCF_dTs, se, t, p, ci_low, ci_high, n, rsq, Ts_name)
  - output/dLCF_dTs/ALINE_HARM_<REGION>.csv   (A, phase_deg, peak_month, r2, n_valid)
  - (append/update) output/tables/Table4_dLCF_dTs_A.csv (region, mean±CI, A, phase_deg)

Notes
- Per-month Z-score (by calendar month) for LCF, Ts and all CCFs.
- Ts predictor is chosen automatically:
    * If user lists SST in --ccf, Ts = ERA5_SST and SST is removed from CCFs to avoid duplication.
    * Else if ERA5_TS exists, Ts = ERA5_TS; else if ERA5_SST exists, Ts = ERA5_SST.
- Newey–West (HAC) SE with lag = --lags (default 1).
- VIF checked per month (info-level warning only).
",,heuristic string match
scripts/feedback_fit_cmip_vs_obs.py,setup_logger,log,<LOGS_DIR>,,variable placeholder; directory creation
scripts/feedback_fit_cmip_vs_obs.py,make_scatter,other,<FIG_PATH_PARENT>,,attribute placeholder; directory creation
scripts/feedback_fit_cmip_vs_obs.py,make_scatter,figure,<FIG_PATH>,,variable placeholder
scripts/feedback_fit_cmip_vs_obs.py,process_region,other,<TABLE_PATH_PARENT>,,attribute placeholder; directory creation
scripts/feedback_fit_cmip_vs_obs.py,process_region,table,<TABLE_PATH>,,variable placeholder
scripts/feedback_fit_cmip_vs_obs.py,parse_args,table,output/cmip_amip_monthly_2003-2014.csv,,heuristic string match
scripts/feedback_fit_cmip_vs_obs.py,process_region,other,output/regional_monthly,,heuristic string match
scripts/feedback_fit_cmip_vs_obs_strict.py,<module>,other,<HERE_PARENT>,ROOT,constant definition; attribute placeholder
scripts/feedback_fit_cmip_vs_obs_strict.py,plot_model_vs_obs,other,<FIG_PATH_PARENT>,,attribute placeholder; directory creation
scripts/feedback_fit_cmip_vs_obs_strict.py,plot_model_vs_obs,figure,<FIG_PATH>,,variable placeholder
scripts/feedback_fit_cmip_vs_obs_strict.py,main,table,<OUT_CSV>,,variable placeholder
scripts/feedback_fit_cmip_vs_obs_strict.py,main,table,<OUT_CSV_ALL>,,variable placeholder
scripts/feedback_fit_cmip_vs_obs_strict.py,<module>,log,"
feedback_fit_cmip_vs_obs_strict.py  (STRICT, config-aware, NO GUESSING)

比较（默认 2003–2014，可用 --span 覆盖）：
  (1) λ_cld,SW = d(SWCRE)/d(Ts)
  (2) d(LCF)/d(EIS)

读取优先级（严格按你的目录）：
  1) CERES_<REGION>_monthly.csv   （SWCRE）
     ERA5_<REGION>_monthly.csv    （Ts / EIS）
     MODIS_<REGION>_monthly.csv   （LCF）
  2) 回退：{prefix}_region_mean_{span}_{REGION}.csv
          {prefix}_climatology_{span}_{REGION}.csv

统计：
  * y ~ β x + const
  * HAC(Newey–West) 标准误（--hac-lags；--no-hac 关闭）
  * AR(1) 报告：phi_y, phi_x, Ljung–Box(1) p 值（lb_p_y/x），Durbin–Watson（dw）

输出：
  * tables/feedback_fit_<y>_vs_<x>_<REGION>.csv
  * figures/feedback_fit_<y>_vs_<x>_<SCOPE>.png
  * logs/feedback_fit_*.log （由 setup_logger 写入）

  python scripts/feedback_fit_cmip_vs_obs_strict.py   --pair swcre_ts   --config configs/config.yaml   --regions ALL   --span 2003-2022   --deseasonalize --hac-lags 12   --obs-map SWCRE=swcre,Ts=ts   --cmip-y output/tables/cmip_panel_clswlow_2003-2014.csv   --cmip-x output/tables/cmip_panel_ts_2003-2014.csv
# 如果上一步生成的是 tas 面板，就把最后一行改成：
# --cmip-x output/tables/cmip_panel_tas_2003-2014.csv



",,heuristic string match
scripts/feedback_fit_cmip_vs_obs_strict.py,parse_args,other,CMIP x 表（默认 output/cmip_amip_<x>_vs_obs_<span>.csv）,,heuristic string match
scripts/feedback_fit_cmip_vs_obs_strict.py,parse_args,other,CMIP y 表（默认 output/cmip_amip_<y>_vs_obs_<span>.csv）,,heuristic string match
scripts/feedback_fit_cmip_vs_obs_strict.py,main,other,output/cmip_amip_,,heuristic string match
scripts/gamma_radiative.py,<module>,other,<HERE_PARENT>,ROOT,constant definition; attribute placeholder
scripts/gamma_radiative.py,main,table,<OUT_CSV>,,variable placeholder
scripts/gamma_radiative.py,main,table,<OUT_HARM>,,variable placeholder
scripts/gamma_radiative.py,main,table,<TABLE3_PATH>,,variable placeholder
scripts/gamma_radiative.py,main,table,<TABLE3_PATH>,,variable placeholder
scripts/gamma_radiative.py,main,figure,<FIG_PATH>,,variable placeholder
scripts/gamma_radiative.py,_read_modis,other,"
    优先读 output/regional_monthly/MODIS_<REGION>_monthly.csv（需包含 MODIS_LCF；可选 MODIS_TAU / MODIS_RE）。
    若不存在，则回退到 cllmodis_region_mean_*_<REGION>.csv（两列或无表头），构造最小月表（仅 MODIS_LCF）。
    ",,heuristic string match
scripts/gamma_radiative.py,<module>,other,"
Monthly radiative sensitivity:
  SWCRE'_m = gamma^(m) * LCF'_m + eta_m
Optionally binned by optical depth (TAU) or effective radius (RE):
  gamma(m | bin)

Inputs (per region):
  - output/regional_monthly/MODIS_<REGION>_monthly.csv   (MODIS_LCF; optional MODIS_TAU / MODIS_RE)
  - output/regional_monthly/CERES_<REGION>_monthly.csv   (CERES_SWCRE)

Preprocessing:
  - Align to month-start timestamps
  - Per-month Z-score for both SWCRE and LCF (and bin variable if needed)
  - OLS with Newey–West (HAC) SE (lag = --lags)

Outputs:
  - output/gamma/GAMMA_<REGION>.csv
  - output/gamma/GAMMA_HARM_<REGION>.csv
  - output/tables/Table3_gamma.csv   (append/update for this region; incl. mean±CI and A,phi)
  - output/figures/Fig3_swcre_vs_lcf_<REGION>.png

Usage:
  python scripts/gamma_radiative.py --region NEP --lags 1
  python scripts/gamma_radiative.py --region NEP --bin_by TAU --bins 3 --lags 1
  # 单区，不分箱
python scripts/gamma_radiative.py --region NEP --lags 1

# 单区，分箱（τ 三分位）
python scripts/gamma_radiative.py --region NEP --bin_by TAU --bins 3 --lags 1

# 一次跑五区（不分箱）
python scripts/gamma_radiative.py --regions ALL --lags 1

# 一次跑五区（分箱）
python scripts/gamma_radiative.py --regions ALL --bin_by RE --bins 4 --lags 1

",,heuristic string match
scripts/harmonic_summary_cmip_amip.py,main,table,<OUT_CSV>,,variable placeholder
scripts/harmonic_summary_cmip_amip.py,main,figure,<FIG1>,,variable placeholder
scripts/harmonic_summary_cmip_amip.py,main,figure,<FIG1B>,,variable placeholder
scripts/harmonic_summary_cmip_amip.py,main,figure,<FIG2>,,variable placeholder
scripts/harmonic_summary_cmip_amip.py,main,figure,<FIG3>,,variable placeholder
scripts/harmonic_summary_cmip_amip.py,<module>,other,"
CMIP6 AMIP harmonic summary vs observations (5x5 monthly)

功能：
- 遍历 /cmip6/5x5/<var> 目录下 *_amip_*.nc 文件（不同模型）
- 每个 模型×区域：区域均值 → 年份窗口 → 月气候态（12个月）→ 一阶谐波拟合
- 同口径加载观测（MODIS 或 LCRE）
- 产出：总表 CSV（tables/）+ 4 类图（figures/）

用法示例：
  python scripts/harmonic_summary_cmip_amip.py --var cllisccp
  python scripts/harmonic_summary_cmip_amip.py --var clswlow --regions SEP,SEA,NEP
  python scripts/harmonic_summary_cmip_amip.py --var cllisccp --start 2003 --end 2012
",,heuristic string match
scripts/harmonic_summary_obs.py,main,table,<OUT_CSV>,,variable placeholder
scripts/harmonic_summary_obs.py,main,figure,<AMP_FIG>,,variable placeholder
scripts/harmonic_summary_obs.py,main,figure,<PEAK_FIG>,,variable placeholder
scripts/harmonic_summary_obs.py,<module>,other,"
Summarize first-harmonic fitting for MODIS observations across regions.

Outputs (under output/ and figures/):
  - output/<var>_harmonics_summary_<span>.csv
  - figures/<var>_amplitude_summary_<span>.png
  - figures/<var>_peakmonth_summary_<span>.png

Usage:
  python scripts/harmonic_summary_obs.py --var cllmodis
  # 可选变量: cllmodis, clswlow, cllwlow
",,heuristic string match
scripts/harmonic_yearly_obs.py,main,other,<ROSE_DIR>,,variable placeholder; directory creation
scripts/harmonic_yearly_obs.py,main,other,<HARMONICS_DIR>,,variable placeholder; directory creation
scripts/harmonic_yearly_obs.py,main,table,<OUT_CSV>,,variable placeholder
scripts/harmonic_yearly_obs.py,<module>,other,"
harmonic_yearly_obs.py

逐年一阶谐波拟合（MODIS obs）→ 汇总每年的振幅 A_y 与相位 φ_y，并画相位玫瑰图与年度振幅折线。

Outputs:
  - output/harmonics/<var>_yearly_harmonics_<span>.csv
      columns: region, year, n_months, amplitude, phase_deg, peak_month, r2
  - figures/harmonics/<var>_phase_rose_<region>_<span>.png
  - figures/harmonics/<var>_amp_timeseries_<region>_<span>.png

Usage:
  python scripts/harmonic_yearly_obs.py --var cllmodis
  # options: --regions NEP,NEA,SEA,SEI,SEP  --min_months 8
",,heuristic string match
scripts/harmonic_yearly_obs.py,main,other,output/harmonics,,heuristic string match
scripts/lambda_chain.py,<module>,other,<HERE_PARENT>,ROOT,constant definition; attribute placeholder
scripts/lambda_chain.py,main,table,<OUT_CSV>,,variable placeholder
scripts/lambda_chain.py,main,table,<OUT_H>,,variable placeholder
scripts/lambda_chain.py,main,table,<OUT_ATTR>,,variable placeholder
scripts/lambda_chain.py,main,table,<T5>,,variable placeholder
scripts/lambda_chain.py,main,table,<T5>,,variable placeholder
scripts/lambda_chain.py,main,figure,<FIG_NAME>,,variable placeholder
